品牌,目标消费群体,分类
怡夕,26-40岁,女装
柏维娅,26-40岁,女装
elegant,26-40岁,女装
卓卡,28-38,女装
古琦路,26-40岁,女装
无则添,26-40岁,女装
美亚尼,26-40岁,女装
慕拉,28-38,女装
宾卡斯,18-45岁,女装
孜影,26-40岁,女装
花木语,26-40岁,女装
美众,18-34岁,女装
左右岁月,26-40岁,女装
纤亿缘,26-40岁,女装
班晓雪,26-40岁,女装
豆豆、思茵,26-40岁,女装
玮言,30-40岁,女装
水盈格,19-25岁,女装
曲歌,26-40岁,女装
斐凡妮,26-40岁,女装
莱芙·艾迪儿,26-40岁,女装
非牌,26-40岁,女装
木美,28-45岁,女装
卡蒂,28—38岁,女装
dilunnuna,26-40岁,女装
萝芘,22-45,女装
吉之岛,26-40岁,女装
然彩,26-40岁,女装
莱尔欧妃,28-45岁,女装
卡伊简爱,26-40岁,女装
布千,19-25岁,女装
迪卡轩女装,25-35岁,女装
爱诗帛雅,18—45岁,女装
奥薇纳,26-40岁,女装
芙瑞丽,22-35岁,女装
名熙,26-40岁,女装
花开了花开了,26-40岁,女装
莲丝芙、慕斐尔 诗萌蒂,26-40岁,女装
著拓,26-40岁,女装
英诗黛,26-40岁,女装
依诗嫚,26-40岁,女装
湘扬,26-40岁,女装
Emiyu,20-35岁,女装
M2midec,25-35岁,女装
艾诺丝.雅诗,26-40岁,女装
白翎风采,30-40岁,女装
我爱露露,26-40岁,女装
欧E女装,25-45岁,女装
遇上,20-35岁,女装
佳可,28-38岁,女装
锦衣华庭,26-40岁,女装
纳帕佳,18-50岁,女装
菲常范儿,26-40岁,女装
百分之二,19-25岁,女装
玛利亚维多,28-38岁,女装
主格,26-40岁,女装
伊果,25—45岁,女装
涵意,26-40岁,女装
法国碧阳,35-55岁,女装
零库存,18-35岁,女装
比茵,25-38岁,女装
西媛,18-38岁,女装
荷比俪,25-35岁,女装
衣莎美诺,26-40岁,女装
艾米丽,25-40岁,女装
古艾思,18-40岁,女装
娅纳 ,26-40岁,女装
卡依莲,22-45岁,女装
韩璐璐,26-40岁,女装
梵凯,19-25岁,女装
易初,18-35岁,女装
朗诗逸,26-40岁,女装
菲凡,26-40岁,女装
淘概念,18-45,女装
杰胜、茜露,26-40岁,女装
黛维,26-40岁,女装
COCO,19-25岁,女装
淑女心情,26-40岁,女装
卡瓦洛,26-40岁,女装
阁兰秀,26-40岁,女装
妃格莱儿,26-40岁,女装
艾迪莱恩,26-40岁,女装
威恩诗，曼迪菲,26-40岁,女装
印象工坊,26-40岁,女装
依迪索,26-40岁,女装
路卡西,26-40岁,女装
淿素,25-40岁,女装
欧柏帝姿,35-45,女装
玛可凯恩,26-40岁,女装
A.E.NICE,26-40岁,女装
艾莉婕,26-40岁,女装
郁香菲,不限,女装
丽约尔,20-35岁,女装
祥和鸟,26-40岁,女装
柏雪艾儿,26-40岁,女装
微格,26-40岁,女装
法薇雅,35-45,女装
名熙,26-40岁,女装
花开了花开了,26-40岁,女装
莲丝芙、慕斐尔 诗萌蒂,26-40岁,女装
著拓,26-40岁,女装
英诗黛,26-40岁,女装
依诗嫚,26-40岁,女装
湘扬,26-40岁,女装
Emiyu,20-35岁,女装
M2midec,25-35岁,女装
薇娃惟斯时尚女装,28-35岁,女装
Tulip taste,不限,女装
泰妮贝儿,18-35岁,女装
瑞琦玛雅,26-40岁,女装
卓姿·乔雅,26-40岁,女装
米巴纽,26-40岁,女装
艾诺丝.雅诗,26-40岁,女装
白翎风采,30-40岁,女装
我爱露露,26-40岁,女装
欧E女装,25-45岁,女装
遇上,20-35岁,女装
佳可,28-38岁,女装
锦衣华庭,26-40岁,女装
纳帕佳,18-50岁,女装
菲常范儿,26-40岁,女装
百分之二,19-25岁,女装
玛利亚维多,28-38岁,女装
主格,26-40岁,女装
伊果,25—45岁,女装
涵意,26-40岁,女装
法国碧阳,35-55岁,女装
零库存,18-35岁,女装
歌诗菲,26-40岁,女装
NILICO,19-25岁,女装
奔霓诗,26-40岁,女装
墙外,19-25岁,女装
梦依莲,26-40岁,女装
由己,26-40岁,女装
贝茜妮,22-45,女装
亿丽黛,25-45岁,女装
黛尔娜,26-40岁,女装
BESBE,26-40岁,女装
iROO,26-40岁,女装
千葵,26-40岁,女装
卡尼欧,19-25岁,女装
果果,19-25岁,女装
你是你,26-40岁,女装
NANCY K,19-25岁,女装
薇欧拉,26-40岁,女装
Doxa,26-40岁,女装
云凤思儒,26-40岁,女装
Carries Dandy,26-40岁,女装
裘堤诺,26-40岁,女装
evona,26-40岁,女装
 M'S,26-40岁,女装
韩屋里,26-40岁,女装
缀,25-36,女装
VIVA HEART,19-25岁,女装
K&CH,26-40岁,女装
茉蒽,26-40岁,女装
菂诺,26-40岁,女装
嫒嫒,19-25岁,女装
狐狸叫,26-40岁,女装
之禾,22-45,女装
玉立佳人,26-40岁,女装
NGAN,30-45岁,女装
贝银,20-40岁,女装
欧多蒂,26-40岁,女装
京巴顿,26-40岁,女装
斓蝶,26-40岁,女装
米李,26-40岁,女装
韩国可可,26-40岁,女装
艾笛纳,26-40岁,女装
Z11,22-35,女装
瑞芙伍玆,,女装
玛丹,26-40岁,女装
飚美,25-38岁,女装
